id,name,street_address,postal_code,latitude,longitude,city_id,stars,review_count,is_open
mcdonaldsxxx282193822478,McDonald's,34367 Sr 54,33545,28.219304,-82.247879,50,1.5,17,1
mcdonaldsxxx282352826664,McDonald's,8937 Rancho Del Rio Dr,34655,28.2352649,-82.6664885,228,2.0,17,1
mcdonaldsxxx282361827285,McDonald's,5309 US Hwy 19S,34652,28.2361355,-82.7285524,228,1.5,19,1
mcdonaldsxxx282381823584,McDonald's,27643 State Rd 54 W,33543,28.2381579,-82.3584515,50,3.0,50,1
mcdonaldsxxx282461821892,McDonald's,6042 Gall Blvd,33541,28.246157,-82.1892364,201,1.5,22,1
mcdonaldsxxx282740826252,McDonald's,11367 Ridge Rd,34654,28.2740945,-82.625206,228,3.5,8,1
mcdonaldsxxx282815827173,McDonald's,8527 US 19 N,34668,28.281598,-82.7173998,562,2.5,14,1
mcdonaldsxxx282902826763,McDonald's,9121 Little Rd,34654,28.2902014,-82.6763656,228,2.0,39,1
mcdonaldsxxx283310826998,McDonald's,11929 US Hwy 19,34668,28.3310761,-82.6998957,562,2.0,11,1
mcdonaldsxxx283316826584,McDonald's,9441 St Rd 52,34669,28.3316186,-82.658409,327,2.5,28,1
mcdonaldsxxx284344825503,McDonald's,10319 County Line Rd,34609,28.434438,-82.5503602,327,1.5,24,1
mcdonaldsxxx284577826309,McDonald's,1485 Commercial Way,34606,28.4577627,-82.6309256,20,2.0,8,1
mcdonaldsxxx284615825420,McDonald's,11055 Springhill Dr,34608,28.4615235,-82.542003,20,1.5,23,1
mcdonaldsxxx284669826205,McDonald's,2350 Commercial Way,34606,28.4669205,-82.6205885,20,2.5,17,1
mcdonaldsxxx284921825405,McDonald's,4166 Mariner Blvd,34609,28.4921166,-82.5405367,20,2.5,13,1
mcdonaldsxxx298819900231,McDonald's,140 Lapalco Blvd,70056,29.8819031,-90.0231027,743,2.0,21,1
mcdonaldsxxx298998900298,McDonald's,709 Terry Pkwy,70056,29.8998883,-90.0298834,743,1.0,21,1
mcdonaldsxxx299101900572,McDonald's,501 Westbank Expy,70053,29.9101356,-90.0572342,743,2.0,16,1
mcdonaldsxxx299146900463,McDonald's,1212 Stumpf Blvd,70053,29.9146099,-90.046379,743,1.5,17,1
mcdonaldsxxx299563902170,McDonald's,9601 Jefferson Hwy,70123,29.9563045,-90.2170289,474,1.5,10,1
mcdonaldsxxx362473867194,McDonald's,1202 Coreland Dr,37115,36.247395,-86.719499,599,2.0,6,0
mcdonaldsxxx362512867189,McDonald's,1006 Gallatin Rd S,37115,36.2512796,-86.7189107,599,1.5,27,1
mcdonaldsxxx364932868773,McDonald's,2113 Memorial Blvd,37172,36.4932219,-86.8773518,374,1.5,12,1
